LocationID,SensingDateTime,SensingDate,SensingTime,Direction_1,Direction_2,total_of_Directions
12,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,2,4
19,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,5,8
27,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,1,4
35,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,5,11
62,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,4,10
67,2023-06-05T11:22:00+10:00,2023-06-05,11:22,8,3,11
68,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,0,3
76,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,3,5
8,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,4,4
26,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,3,3
31,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,3,3
39,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,2,4
41,2023-06-05T11:21:00+10:00,2023-06-05,11:21,10,10,20
54,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,1,1
61,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,4,6
77,2023-06-05T11:21:00+10:00,2023-06-05,11:21,5,0,5
87,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,0,1
1,2023-06-05T11:21:00+10:00,2023-06-05,11:21,34,13,47
18,2023-06-05T11:21:00+10:00,2023-06-05,11:21,3,3,6
24,2023-06-05T11:21:00+10:00,2023-06-05,11:21,10,9,19
49,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,2,3
62,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,1,1
63,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,4,8
5,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,10,12
21,2023-06-05T11:21:00+10:00,2023-06-05,11:21,5,5,10
28,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,4,5
40,2023-06-05T11:21:00+10:00,2023-06-05,11:21,3,6,9
42,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,2,4
47,2023-06-05T11:21:00+10:00,2023-06-05,11:21,8,20,28
50,2023-06-05T11:21:00+10:00,2023-06-05,11:21,5,4,9
55,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,9,13
65,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,4,6
75,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,1,1
2,2023-06-05T11:21:00+10:00,2023-06-05,11:21,8,6,14
9,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,4,4
10,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,1,3
12,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,0,1
20,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,0,4
23,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,5,6
30,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,4,6
52,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,3,7
